总担心别人怎么看我
讨好型人格
拖延症
完美主义
害怕失败
害怕开始
总觉得自己不够好
社交焦虑
容貌焦虑
年龄焦虑
财富焦虑
原生家庭影响
情绪失控
敏感人格
总爱比较
